AUD, 20120319, GLOBEX, 2011-12-16 00:00, 2011-12-20 16:00
CAD, 20120320, GLOBEX, 2011-12-16 00:00, 2011-12-20 16:00
DX, 20120319, NYBOT, 2011-12-08 00:00, 2011-12-20 16:00
ES, 20120316, GLOBEX, 2011-12-08 00:00, 2011-12-20 16:00
EUR, 20120319, GLOBEX, 2011-12-12 00:00, 2011-12-20 16:00
GBP, 20120319, GLOBEX, 2011-12-14 00:00, 2011-12-20 16:00
JPY, 20120319, GLOBEX, 2011-12-13 00:00, 2011-12-20 16:00
ZB, 20120321, ECBOT, 2011-11-30 00:00, 2011-12-20 16:00
ZN, 20120321, ECBOT, 2011-11-30 00:00, 2011-12-20 16:00
ZW, 20120314, ECBOT, 2011-11-15 00:00, 2011-12-20 16:00
